week,home_team,away_team,home_score,away_score,total_points
5,Ja'Marr-a-Lago,Lets Buccin' Go!,0.0,0.0,0.0
5,Jaxson Dart the savior,Keon: The Professional,0.0,0.0,0.0
5,Team Scollins,Gone in 60 Saquons ,0.0,0.0,0.0
5,Dub Dynasty,This Just In: Jefferson,0.0,0.0,0.0
5,Hurts to Lose,THE A-TEAM,0.0,0.0,0.0
5,Straight Outta Tomlin,Behind The Steel Curtain,0.0,0.0,0.0
