team_id,team_name,wins,losses,ties,games_played,win_pct
1,Lets Buccin' Go!,2,2,0,4,0.5
2,Hurts to Lose,2,2,0,4,0.5
3,Gone in 60 Saquons ,3,1,0,4,0.75
4,Straight Outta Tomlin,3,1,0,4,0.75
5,Keon: The Professional,2,2,0,4,0.5
7,Dub Dynasty,0,4,0,4,0.0
8,Jaxson Dart the savior,2,2,0,4,0.5
9,Behind The Steel Curtain,2,2,0,4,0.5
10,Team Scollins,1,3,0,4,0.25
11,THE A-TEAM,2,2,0,4,0.5
12,Ja'Marr-a-Lago,2,2,0,4,0.5
13,This Just In: Jefferson,3,1,0,4,0.75
